,Имя,Комментарий,Дата,Оценка
0,Сергей,"У стоматолога был лет 12 назад,так как была детская травма и страх,но обстоятельства вынудили. Был у специалиста и профи своего дела Шарай Павел Александрович после первого приёма ушёл даже и не понял что всё так легко и безболезненно.Павел Александрович востановил передний зуб! Страх прошёл и вот я у него побывал ещё два раза. Лечением очень доволен ,всё прошло просто сказачно. Огромное спасибо!",25 февраля 2024,5
1,Вера О.,"Выражаю огромную благодарность всему коллективу клиники «Ю- КЛИНИК». Особенно хочу отметить врача Тен Кристину Сергеевну за высокий профессионализм и внимательное отношение к пациентам! Спасибо , что подарили мне красивую улыбку, Кристина Сергеевна!",11 января 2024,5
2,Александр,"Был несколько раз у Кристины Сергеевны, отличный специалист, золотые руки, всем рекомендую!",11 января 2024,5
3,Ольга Корнейчук,"Очень рада, что обратилась в стоматологический центр  «Ю-КЛИНИК» Все очень аккуратно, специалисты вежливые и доброжелательные. Все рассказывают что делают и дают необходимые рекомендации. Скоро смогу похвастаться голливудской улыбкой.",11 января 2024,5
4,Вера,"Сделала съёмные протезы,но пользоваться ими так и не смогла.Они не держались даже на клею,при приёме пищи падали и ранили ротовую полость,разговаривать с ними не могла.Просила переделать,ответили,что сделано всё по технологии.Нужно привыкнуть.Но привыкнуть к такому браку,так и не смогла.Пошла в другую клинику,заплатила в три раза дешевле,пользуюсь.Очень довольна.А вашу клинику никому не пррекомендую.",4 января 2024,1
5,Антошка,Рвал зуб и все было отлично. Не больно и не дорого!,11 декабря 2023,5
6,Людмила,Хочу сказать слова благодарности хирургу Ю-клиник Емельянчиковой Марии Андреевне за удаление сложного зуба мудрости. До этого хирург другого медучреждения не взялся за его удаления. Она сделала аккуратно и бережно. Очень внимательный доктор.,26 ноября 2023,5
7,Николай,"Выражаю благодарность Елене Николаевне,за высокий профессионализм, за качественно проделанную работу, очень понравилось, рекомендую!!!!! Спасибо огромное!",11 ноября 2023,5
8,Анастасия М.,"Хочу выразить огромную благодарность врачам данной клиники: Юрковцу Александру Николаевичу, Карпачеву Владиславу Владимировичу, Дворонину Максиму Арсеньевичу! Прекрасные специалисты,профессионалы, от чистого сердца рекомендую всем своим знакомым этих стоматологов! А так же прекрасная клиника, с великолепным сервисом и оборудованием!
Однако остались у нас с мамой неприятные ощущения после консультации у тен к.с! С ее слов мне нужно было поставить 8 коронок , очень срочно! А моей мама 4!
После такой консультации я посетила еще 6 разных специалистов в разных клиниках Гомеля и ни один из них не согласился с ее словами!
А так же меня удивляет ее надменная манера общения!Такое поведение недопустимо в заведении подобного уровня! Так как статус и имидж, нарабатываемые годами,можно с легкостью потерять за 15 минут подобного поведения!",18 октября 2023,5
9,Наталия,"Хочу выразить огромную благодарность врачу Алейниковой Светлане Ивановне! Всегда боялась стоматологов, но благодаря профессионализму, внимательному и трепетному отношению, доброте, отзывчивости Светланы Ивановны изменила своей мнение. Лечение зубов не приносит больше дискомфорта и неприятных ощущений, абсолютно безболезненно, после приема выходишь с прекрасным настроением и улыбкой на лице! Спасибо большое за качественно оказанную помощь и хорошее отношение!",13 октября 2023,5
10,Алексей,"Шарай Павел Александрович, настоящий профессионал своего дела, всё выполняет четко и качественно, клиника отличная",22 августа 2023,5
11,Татьяна,"Клиника хорошая, только  нам отказали в записи на первичный прием  к врачу- ортодонту  т.к. мы ранее не посещали клинику. Сейчас ведётся запись только тех пациентов, которые уже были ране. Звонили в июне месяце, сказали позвонить 26 июля и вас запишут на прием. С такой ситуацией столкнулись впервые.",26 июля 2023,1
12,Любовь,"Здравствуйте!Ставила 4 коронки у Москолевой Елены Леонидовны.Очень-очень довольна!Она настоящий профессионал,ей важно,чтоб пациент ушёл давольным качеством и эстетическим видом ее работы.Елена Леонидовна очень вежливая и внимательная.Я в восторге!Буду обращаться ещё!",25 июля 2023,5
13,Алина,"Хочу выразить огромную благодарность хирургу Щербину Ярославу Александровичу. Безболезненно и легко провёл сложное удаление, вы замечательный врач, огромное спасибо. 
Рада была оказаться в Ю-КЛИНИК, искренне рекомендую всем!",17 июля 2023,5
14,Елена,"Обратилась в «Ю-КЛИНИК» за лечением под микроскопом, осталась очень довольна специалистом, Щербин Татьяной Витальевной, спасибо за высокий профессионализм и терпение в работе. Теперь на лечение только в Ваш современный, стоматологический центр, который предоставляет полный спектр стоматологических услуг!",17 июля 2023,5
15,Ульяна,"Хочу выразить огромную благодарность врачу стоматологу ортодонту Чернышей Алене Игоревне,за создание моей замечательной улыбки! Алина Игоревна врач профессионал, знающий свое дело, а так же очень приятный и вежливый человек. Я благодарна Вам за ваш труд, качественную работу и чуткость проявленную к клиентам!",14 июля 2023,5
16,Денис,"Пришел в вашу стоматологию по рекомендации и мне все понравилось. Приветливые девушки на реесепшене, нет очередей, сам прием прошел быстро и безболезненно. Спасибо!",13 июня 2023,5
17,Светлана,"Добрый день! Хочу искренне поблагодарить весь персонал клиники за Вашу работу, за Ваш труд и заботу. Огромное спасибо девушкам - администраторам за вашу чуткость и помощь. И просто уважение Вашей стрессоустойчивости и терпеливости!
И хочу отдельно выразить огромную благодарность  врачам клиники: Седляровой Елене Николаевне и Москалевой Елене Леонидовне.
Вы Волшебники!
Профессионализм Седляровой Елены Николаевны я знаю очень давно. Только ей доверяю здоровье своих зубов. Спасибо что знаю Вас! Рекомендую!
Совсем недавно познакомилась еще с одним профессионалом ""своего дела"" - Москалева Елена Леонидовна!
Стоматолог-ортопед. Очень волновалась, т.к это мое первое посещение у ортопеда. Но когда я села в кресло, и это хрупкий, нежный и очень внимательный врач начал объяснять, что меня ожидает ( все доступно, как ребёнку), я успокоилась. Я, в надёжных руках! И не ошиблась!  После лечения всегда показывает проделанную работу. 
Спасибо! 
Желаю Вам множества благодарных пациентов!",13 июня 2023,5
18,Станислав,"Совсем недавно, а именно 15.05.2023, решился за много лет (т.к. ОЧЕНЬ СИЛЬНО боялся специалистов данной сферы) всё таки пойти к зубному врачу, для начала выполнить чистку. Скажу честно, люди не бойтесь лечить зубы, а если вы попадёте к замечательному специалисту своего дела Шарай Павлу Александровичу, то Вам обеспечена красивая и здоровая улыбка (а самое главное безболезненная).",28 мая 2023,5
19,Мария,"Благодарна Елене Николаевне за качественно оказанное лечение, подробную консультацию и индивидуальный подход!",25 мая 2023,5
20,Надежда,"Хочу выразить огромную благодарность Медведеву Николаю Леонидовичу и медицинской сестре Юлечке за прекрасно проведенную операцию по имплантации зубов. Николай Леонидович профессионал своего дела, очень ответственный, интеллигентный, внимательный хирург имплантолог. Ранее проводил мне сложное удаление зуба и выполнил свою работу на отлично. Это человек на своём месте. Советую всем кто давно искал своего хирурга, Николай Леонидович очень располагает к себе, с прекрасным чувством юмора!! А всему коллективу Ю-клиник здоровья и удачи!",23 мая 2023,4
