,Имя,Комментарий,Дата,Оценка
0,Алёна Исакова,"Мое искреннее спасибо Шараю Павлу за добросовестный труд, делала реставрацию у него, просто идеально! Качественно выполнена работа, переживала, потому что передний зуб все-таки, но зря! Я рекомендую этого врача!",11 ноября 2022,5
1,Дарья,"Обратилась к Москалевой Е..Л по наставлению друга, который также проходил лечение у Елены Леонидовны. У меня проблемы с зубами с детства, и в 20 лет я уже имела 3 коронки передних зубов. Но, то цвета подобраны не те, то ощущение, что между коронками и зубами «пропасть». И наконец-то в 30 лет, я обратилась действительно за квалифицированной помощью. Мне изначально детально было рассказано об этапах и стоимости лечения, а на выходе, проделанная работа выше всяких похвал. У меня впервые ощущение, что зубы - «Мои», мне комфортно, и от этого я счастлива. Спасибо большое",10 ноября 2022,5
2,Ирина,"Хочу сказать огромное спасибо Ю- КЛИНИК и в частности докторам: Москалевой Е.Л (доброжелательность, профессионализм), А.Н Юрковец (супер-виртуоз своего дела!)",10 ноября 2022,5
3,Дарья,"Я и понятия не имела, что импланты можно ставить настолько безболезненно. Дворонин М.А., вы просто золото. Приду через пол годика еще за одним имплантом. Долго искала ""своего"" врача, тк был страх стоматологов. Теперь только к этому специалисту!",10 ноября 2022,5
4,Дарья,"Восхищена работой хирурга Дворонина Максима, врач талантливейший и с чувством юмора, мой прием прошел весело и безболезненно, рекомендую этого специалиста!",10 ноября 2022,5
5,Лилия,"Лучшая стоматологическая клиника в Гомеле! Нашла её совершенно случайно когда она только открылась, теперь хожу только в неё. Очень нравится атмосфера и сервис! Карпачеву отдельная благодарность за быстрое и качественное лечение, и всем сотрудникам за хорошее настроение и качественное обслуживание.",29 апреля 2022,5
6,Татьяна,"Юрковец Александр Николаевич профессионал своего дела! Качественные материалы, ювелирная работа и шикарный результат! Спасибо! Администраторы и весь коллектив оставляют только положительные впечатления. Процветания Вашей клинике!",14 марта 2022,5
7,Света,"Огромное спасибо доктору Медведеву. Очень хороший специалист. Внимательный, всё объяснил, проконсультировал, безболезненно удалил зуб.",23 сентября 2021,5
8,Наталья Сергеевна,"Выражаю огромную благодарность Карпачёву Вячеслав Владимировичу за высокий за высокий профессионализм в работе: качество , эстетику , культурное обслуживание.

       На протяжении многих лет этот врач лечит зубы всем членам моей семьи и каждый раз, попадая к нему на прием мы как всегда восхищаемся работой этого замечательного доктора.

     Спасибо ему огромное .",12 апреля 2021,5
9,Дина,"Мою благодарность Медведеву Николаю Леонидовичу не выразить просто словами, о Вас нужно слагать оды! 
Я до сих пор нахожусь в чистом и искреннем восхищении от Вашей работы, внимательного и чуткого отношения, Вашего высокого профессионализма, и по-настоящему рада, что поставила свой первый имплант на единицу именно у Вас! Хотя до этого даже не представляла что так легко перенесу процедуру имплантации.
Без колебаний обратилась второй раз за удалением нижних зубов и постановкой имплантов на место семерки и шестерки именно к Николаю Леонидовичу, так как знала что буду в надежных руках.
Удаление сложной ретинированной восьмерки сразу после семерки и шестерки было задачей не из легких в условиях весьма ограниченного доступа, но Вы справились на отлично! Я практически не волновалась потому что полностью доверяла Вам как специалисту и мастеру своего дела. Процедура имплантации прошла замечательно и была совершенно безболезненной. Николай Леонидович, спасибо Вам огромное!",12 ноября 2020,5
10,Валентина,"Большое спасибо за проделанную работу по установке имплантатов Дворонину Максиму Арсеньевичу! Операция прошла успешно, чувствую себя хорошо, никаких болевых ощущений. Мы с врачом выбрали швейцарские имплантаты, так как в моей ситуации это был самый оптимальный вариант. Соотношение качество-цена это про Ю-КЛИНИК. Спасибо Вам, Максим Арсеньевич! Вы самый лучший хирург!",14 октября 2020,5
11,Наталья,"СПАСИБО , именно все буквы большие . Можно ли удалить зуб безболезненно? А после после обезболивания прошло время и боли не было? Все верно! Медведев Николай Леонидович больше , чем профессионал, он скорее волшебник! Весь процесс говорил ,описывал ни минутки не оставлял времени для волнения. От начала приема и до конца спасибо!!!",10 сентября 2020,5
12,Алексей Сергеевич,"Не поленюсь написать, что Ю-Клиник лучшая стоматологическая клиника в городе! Убедился на личном опыте. Долго я мучался с зубами в других стоматологиях , пока мне не посоветовали Ю-Клиник. За месяц я поправил все свои проблемы с зубами и остался не то что доволен, а безумно рад, что когда-то мне посоветовали обратиться  именно к ним. Так что всем советую, это правда  очень крутая клиника! Выражаю вам благодарность и признательность за ваш труд и высокий сервис!",9 марта 2020,5
13,Марианна,"Лучшая клиника в городе, убедилась на собственном опыте. Долго я искала подходящую мне  стоматологию, уж очень боюсь врачей, поэтому отбор был серьёзнейший. Прочитала все отзывы, собрала рекомендации знакомых и друзей и мой выбор пал однозначно на Ю-Клиник! Не пожалела ни разу! Все мои проблемы решили в миг, очень расположили к себе своей заботой и вниманием. Сервис на высшем уровне, а врачи просто милашки. Качественно сделали свою работу от чего я в безумном восторге. Спасибо вам большое, за что вы такие!!! Рекомендую теперь всем, вы классные!!!",11 февраля 2020,5
